iter	Passed	Remaining
0	36	29767
1	58	23985
2	102	27945
3	124	25442
4	164	26853
5	198	26933
6	219	25520
7	240	24439
8	257	23241
9	291	23571
10	332	24430
11	372	25076
12	390	24235
13	411	23703
14	447	23992
15	490	24642
16	497	23513
17	517	23058
18	528	22292
19	549	21996
20	571	21743
21	592	21490
22	634	22003
23	662	21966
24	693	22058
25	713	21776
26	734	21566
27	769	21757
28	791	21585
29	811	21366
30	836	21299
31	875	21555
32	896	21379
33	926	21418
34	965	21659
35	995	21684
36	1017	21536
37	1056	21741
38	1085	21743
39	1118	21804
40	1123	21339
41	1155	21412
42	1178	21286
43	1189	20970
44	1210	20853
45	1233	20747
46	1244	20462
47	1266	20364
48	1281	20160
49	1303	20078
50	1319	19888
51	1327	19602
52	1357	19640
53	1371	19455
54	1392	19363
55	1418	19350
56	1438	19259
57	1460	19186
58	1502	19380
59	1522	19290
60	1546	19247
61	1578	19297
62	1606	19297
63	1649	19488
64	1676	19472
65	1722	19682
66	1743	19592
67	1790	19805
68	1811	19719
69	1832	19632
70	1869	19723
71	1902	19762
72	1933	19790
73	1956	19724
74	1977	19644
75	1998	19560
76	2043	19713
77	2067	19664
78	2099	19690
79	2112	19544
80	2150	19616
81	2185	19666
82	2206	19588
83	2243	19654
84	2294	19841
85	2316	19771
86	2347	19781
87	2385	19845
88	2410	19794
89	2431	19724
90	2454	19661
91	2487	19683
92	2508	19609
93	2529	19537
94	2550	19464
95	2571	19396
96	2597	19359
97	2619	19296
98	2643	19249
99	2663	19180
100	2691	19156
101	2712	19090
102	2744	19102
103	2771	19082
104	2815	19174
105	2836	19106
106	2858	19049
107	2880	18987
108	2906	18955
109	2954	19067
110	2988	19091
111	3010	19029
112	3046	19062
113	3067	18999
114	3089	18937
115	3134	19025
116	3159	18986
117	3181	18928
118	3224	18994
119	3246	18937
120	3267	18874
121	3303	18900
122	3324	18838
123	3345	18778
124	3371	18745
125	3393	18689
126	3417	18648
127	3461	18714
128	3487	18678
129	3507	18618
130	3544	18640
131	3564	18581
132	3595	18572
133	3617	18518
134	3660	18575
135	3682	18519
136	3714	18518
137	3757	18570
138	3780	18519
139	3809	18504
140	3832	18457
141	3858	18423
142	3879	18365
143	3914	18375
144	3948	18381
145	3972	18337
146	3992	18279
147	4014	18227
148	4053	18253
149	4073	18194
150	4094	18139
151	4116	18090
152	4138	18040
153	4159	17986
154	4182	17943
155	4204	17896
156	4225	17843
157	4260	17852
158	4306	17904
159	4336	17888
160	4357	17837
161	4389	17830
162	4411	17782
163	4434	17736
164	4455	17685
165	4477	17638
166	4526	17697
167	4548	17651
168	4572	17614
169	4595	17569
170	4618	17527
